0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931,0.003187272931
0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633,0.004532378633
0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315,0.006407282315
0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152,0.009004752152
0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313,0.01258120313
0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572,0.01747521572
0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232,0.0241305232
0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413,0.03312429413
0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411,0.04520148411
0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627,0.06131613627
